epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,615.616,0.90203,1.04334,1.21991,0.49185,0.60589,0.50164,0.24004,1.87189,1.76206,2.62669,0.000594286,0.000594286,0.000594286
67,624.697,0.86949,0.99279,1.21447,0.50904,0.54831,0.45392,0.20867,1.77988,2.14194,2.46518,0.000577782,0.000577782,0.000577782
68,633.786,0.77654,0.84219,1.15408,0.50904,0.54831,0.45392,0.20867,1.77988,2.14194,2.46518,0.000561279,0.000561279,0.000561279
69,643.014,1.12084,0.91306,1.62866,0.62986,0.57005,0.52357,0.28054,1.50466,1.92283,2.09761,0.000544776,0.000544776,0.000544776
70,651.837,0.78303,1.04058,1.25706,0.62986,0.57005,0.52357,0.28054,1.50466,1.92283,2.09761,0.000528272,0.000528272,0.000528272
71,660.952,0.60257,0.62316,1.05583,0.62645,0.56039,0.56902,0.34038,1.50581,1.76459,2.10701,0.000511769,0.000511769,0.000511769
72,670.54,1.09763,1.16191,1.49385,0.62645,0.56039,0.56902,0.34038,1.50581,1.76459,2.10701,0.000495266,0.000495266,0.000495266
73,679.881,0.84429,0.88894,1.18334,0.70112,0.5942,0.67199,0.39541,1.41982,1.62917,1.9968,0.000478762,0.000478762,0.000478762
74,689.252,0.71969,0.83237,1.12836,0.70112,0.5942,0.67199,0.39541,1.41982,1.62917,1.9968,0.000462259,0.000462259,0.000462259
75,698.967,0.91748,1.0968,1.29013,0.47472,0.81401,0.69599,0.43064,1.27164,1.63197,1.84474,0.000445756,0.000445756,0.000445756
76,707.99,0.78909,1.0268,1.22873,0.47472,0.81401,0.69599,0.43064,1.27164,1.63197,1.84474,0.000429253,0.000429253,0.000429253
77,717.095,0.88129,0.84387,1.28446,0.58698,0.70224,0.68061,0.41645,1.27596,1.58129,1.82581,0.000412749,0.000412749,0.000412749
78,726.057,0.79294,1.05712,1.15698,0.58698,0.70224,0.68061,0.41645,1.27596,1.58129,1.82581,0.000396246,0.000396246,0.000396246
79,735.432,0.799,0.90753,1.23151,0.54568,0.55676,0.53574,0.32361,1.32166,1.75022,1.85864,0.000379743,0.000379743,0.000379743
80,744.615,0.88647,1.06336,1.48146,0.54568,0.55676,0.53574,0.32361,1.32166,1.75022,1.85864,0.000363239,0.000363239,0.000363239
81,753.567,0.79593,0.68585,1.23023,0.60989,0.47343,0.55051,0.32456,1.37892,1.7822,1.94099,0.000346736,0.000346736,0.000346736
82,762.09,0.86081,0.91347,1.26665,0.60989,0.47343,0.55051,0.32456,1.37892,1.7822,1.94099,0.000330233,0.000330233,0.000330233
83,770.66,1.07534,1.47409,1.69437,0.51734,0.62164,0.58528,0.35155,1.31028,1.84097,1.92643,0.000313729,0.000313729,0.000313729
84,779.72,0.8236,0.86756,1.25713,0.51734,0.62164,0.58528,0.35155,1.31028,1.84097,1.92643,0.000297226,0.000297226,0.000297226
85,788.997,0.98811,0.86635,1.64775,0.74266,0.47511,0.61079,0.36281,1.32267,1.78382,1.93162,0.000280723,0.000280723,0.000280723
86,797.96,0.81577,0.68829,1.28225,0.74266,0.47511,0.61079,0.36281,1.32267,1.78382,1.93162,0.00026422,0.00026422,0.00026422
87,806.998,0.95354,1.08519,1.39397,0.7702,0.51158,0.6265,0.38171,1.27126,1.77724,1.86228,0.000247716,0.000247716,0.000247716
88,816.529,0.66901,0.6649,1.17934,0.7702,0.51158,0.6265,0.38171,1.27126,1.77724,1.86228,0.000231213,0.000231213,0.000231213
89,825.669,0.87048,1.24195,1.24739,0.58401,0.63768,0.62304,0.38489,1.26365,1.79251,1.81007,0.00021471,0.00021471,0.00021471
90,834.661,0.76958,0.65999,1.1561,0.58401,0.63768,0.62304,0.38489,1.26365,1.79251,1.81007,0.000198206,0.000198206,0.000198206
91,843.897,0.72631,0.84891,1.20649,0.59991,0.63214,0.63229,0.37529,1.26528,1.76451,1.80311,0.000181703,0.000181703,0.000181703
92,852.261,1.09436,1.66874,1.49293,0.59991,0.63214,0.63229,0.37529,1.26528,1.76451,1.80311,0.0001652,0.0001652,0.0001652
93,861.675,0.73342,1.02566,1.1405,0.5407,0.57246,0.58575,0.38047,1.27336,1.85954,1.79799,0.000148696,0.000148696,0.000148696
94,870.202,0.59525,0.7508,1.00293,0.5407,0.57246,0.58575,0.38047,1.27336,1.85954,1.79799,0.000132193,0.000132193,0.000132193
95,878.708,0.59424,0.75349,1.08432,0.61207,0.61232,0.59889,0.38811,1.27799,1.82724,1.79107,0.00011569,0.00011569,0.00011569
96,888.017,0.73281,2.04035,1.1433,0.61207,0.61232,0.59889,0.38811,1.27799,1.82724,1.79107,9.91865e-05,9.91865e-05,9.91865e-05
97,898.582,0.61767,0.83366,1.13,0.70349,0.60885,0.6072,0.37816,1.26726,1.83092,1.75996,8.26832e-05,8.26832e-05,8.26832e-05
98,908.064,0.66059,0.73755,1.20173,0.70349,0.60885,0.6072,0.37816,1.26726,1.83092,1.75996,6.61799e-05,6.61799e-05,6.61799e-05
99,916.324,0.6598,0.79274,1.08695,0.69446,0.63337,0.63084,0.40105,1.29248,1.69683,1.79765,4.96766e-05,4.96766e-05,4.96766e-05
100,925.28,0.62891,1.58511,1.00174,0.69446,0.63337,0.63084,0.40105,1.29248,1.69683,1.79765,3.31733e-05,3.31733e-05,3.31733e-05
